State/Region,Year,Insurance Type,Population,Percentage
District of Columbia,2018,Private,75,54.6
District of Columbia,2018,Employer-based,62,45.1
District of Columbia,2018,Direct-purchase,13,9.7
District of Columbia,2018,TRICARE,3,2.4
District of Columbia,2018,Public,67,48.5
District of Columbia,2018,Medicaid,65,47.4
District of Columbia,2018,Medicare,3,2.1
District of Columbia,2018,VA Care,,0.1
District of Columbia,2017,Total,134,100
District of Columbia,2017,Any Coverage,132,98.8
District of Columbia,2017,Uninsured,2,1.2
District of Columbia,2017,Private,74,55.2
District of Columbia,2017,Employer-based,57,42.4
District of Columbia,2017,Direct-purchase,16,11.9
District of Columbia,2017,TRICARE,4,3
District of Columbia,2017,Public,64,48.3
District of Columbia,2017,Medicaid,64,47.9
District of Columbia,2017,Medicare,2,1.4
District of Columbia,2017,VA Care,,0.1
District of Columbia,2016,Total,131,100
District of Columbia,2016,Any Coverage,127,96.9
District of Columbia,2016,Uninsured,4,3.1
District of Columbia,2016,Private,69,52.9
District of Columbia,2016,Employer-based,59,44.7
District of Columbia,2016,Direct-purchase,9,7
District of Columbia,2016,TRICARE,3,2.2
District of Columbia,2016,Public,63,48.2
District of Columbia,2016,Medicaid,63,47.9
District of Columbia,2016,Medicare,1,0.5
District of Columbia,2016,VA Care,,0.2
District of Columbia,2015,Total,127,100
District of Columbia,2015,Any Coverage,126,98.5
District of Columbia,2015,Uninsured,2,1.5
District of Columbia,2015,Private,70,54.6
District of Columbia,2015,Employer-based,60,46.8
District of Columbia,2015,Direct-purchase,10,7.6
District of Columbia,2015,TRICARE,2,1.8
District of Columbia,2015,Public,60,47
District of Columbia,2015,Medicaid,60,46.9
District of Columbia,2015,Medicare,1,0.4
District of Columbia,2015,VA Care,,
District of Columbia,2014,Total,125,100
District of Columbia,2014,Any Coverage,122,97.8
District of Columbia,2014,Uninsured,3,2.2
District of Columbia,2014,Private,65,52.3
District of Columbia,2014,Employer-based,54,42.8
District of Columbia,2014,Direct-purchase,12,9.3
District of Columbia,2014,TRICARE,3,2.5
District of Columbia,2014,Public,62,49.8
District of Columbia,2014,Medicaid,62,49.6
District of Columbia,2014,Medicare,1,0.9
District of Columbia,2014,VA Care,,
District of Columbia,2013,Total,122,100
District of Columbia,2013,Any Coverage,118,97.1
District of Columbia,2013,Uninsured,4,2.9
District of Columbia,2013,Private,68,56.1
District of Columbia,2013,Employer-based,59,48.6
District of Columbia,2013,Direct-purchase,9,7.7
District of Columbia,2013,TRICARE,2,1.7
District of Columbia,2013,Public,60,49.1
District of Columbia,2013,Medicaid,59,48.8
District of Columbia,2013,Medicare,1,0.6
District of Columbia,2013,VA Care,,
District of Columbia,2012,Total,120,100
District of Columbia,2012,Any Coverage,118,97.6
District of Columbia,2012,Uninsured,3,2.4
District of Columbia,2012,Private,66,54.7
District of Columbia,2012,Employer-based,56,46.2
District of Columbia,2012,Direct-purchase,11,9.1
District of Columbia,2012,TRICARE,3,2.9
District of Columbia,2012,Public,60,49.8
District of Columbia,2012,Medicaid,59,49.2
District of Columbia,2012,Medicare,2,1.3
District of Columbia,2012,VA Care,,
District of Columbia,2011,Total,116,100
District of Columbia,2011,Any Coverage,111,96.1
District of Columbia,2011,Uninsured,4,3.9
District of Columbia,2011,Private,64,55.2
District of Columbia,2011,Employer-based,58,50
District of Columbia,2011,Direct-purchase,12,10.8
District of Columbia,2011,TRICARE,1,0.6
District of Columbia,2011,Public,56,48.6
District of Columbia,2011,Medicaid,56,48.5
District of Columbia,2011,Medicare,,0.4
District of Columbia,2011,VA Care,,
District of Columbia,2010,Total,113,100
District of Columbia,2010,Any Coverage,111,97.6
District of Columbia,2010,Uninsured,3,2.4
District of Columbia,2010,Private,64,56.3
District of Columbia,2010,Employer-based,56,49.5
District of Columbia,2010,Direct-purchase,19,16.7
District of Columbia,2010,TRICARE,2,1.8
District of Columbia,2010,Public,57,50
District of Columbia,2010,Medicaid,57,49.8
District of Columbia,2010,Medicare,1,0.8
District of Columbia,2010,VA Care,,
District of Columbia,2009,Total,126,100
District of Columbia,2009,Any Coverage,122,96.6
District of Columbia,2009,Uninsured,4,3.4
District of Columbia,2009,Private,67,53.2
District of Columbia,2009,Employer-based,57,45.1
District of Columbia,2009,Direct-purchase,16,13
District of Columbia,2009,TRICARE,2,1.3
District of Columbia,2009,Public,61,48.5
District of Columbia,2009,Medicaid,61,48.2
District of Columbia,2009,Medicare,1,0.7
District of Columbia,2009,VA Care,,0.1
District of Columbia,2008,Total,124,100
District of Columbia,2008,Any Coverage,119,96.3
District of Columbia,2008,Uninsured,5,3.7
District of Columbia,2008,Private,71,57.1
District of Columbia,2008,Employer-based,62,50.4
District of Columbia,2008,Direct-purchase,14,11.6
District of Columbia,2008,TRICARE,1,1
District of Columbia,2008,Public,54,43.6
District of Columbia,2008,Medicaid,54,43.4
District of Columbia,2008,Medicare,1,1.2
District of Columbia,2008,VA Care,,0.1
Florida,2022,Total,4541,100
Florida,2022,Any Coverage,4204,92.6
Florida,2022,Uninsured,336,7.4
Florida,2022,Private,2512,55.3
Florida,2022,Employer-based,1958,43.1
Florida,2022,Direct-purchase,513,11.3
Florida,2022,TRICARE,143,3.1
Florida,2022,Public,1868,41.1
Florida,2022,Medicaid,1846,40.7
Florida,2022,Medicare,27,0.6
Florida,2022,VA Care,10,0.2
Florida,2021,Total,4534,100
Florida,2021,Any Coverage,4202,92.7
Florida,2021,Uninsured,332,7.3
Florida,2021,Private,2545,56.1
Florida,2021,Employer-based,2004,44.2
Florida,2021,Direct-purchase,504,11.1
Florida,2021,TRICARE,141,3.1
Florida,2021,Public,1869,41.2
Florida,2021,Medicaid,1849,40.8
Florida,2021,Medicare,22,0.5
Florida,2021,VA Care,12,0.3
Florida,2019,Total,4480,100
Florida,2019,Any Coverage,4137,92.4
Florida,2019,Uninsured,343,7.6
Florida,2019,Private,2457,54.9
Florida,2019,Employer-based,1962,43.8
Florida,2019,Direct-purchase,440,9.8
Florida,2019,TRICARE,137,3.1
Florida,2019,Public,1818,40.6
Florida,2019,Medicaid,1796,40.1
Florida,2019,Medicare,30,0.7
Florida,2019,VA Care,10,0.2
Florida,2018,Total,4488,100
Florida,2018,Any Coverage,4149,92.4
Florida,2018,Uninsured,339,7.6
Florida,2018,Private,2408,53.6
Florida,2018,Employer-based,1913,42.6
Florida,2018,Direct-purchase,440,9.8
Florida,2018,TRICARE,119,2.7
Florida,2018,Public,1897,42.3
Florida,2018,Medicaid,1873,41.7
Florida,2018,Medicare,34,0.8
Florida,2018,VA Care,8,0.2
Florida,2017,Total,4450,100
Florida,2017,Any Coverage,4126,92.7
Florida,2017,Uninsured,325,7.3
Florida,2017,Private,2334,52.5
Florida,2017,Employer-based,1838,41.3
Florida,2017,Direct-purchase,434,9.8
Florida,2017,TRICARE,131,2.9
Florida,2017,Public,1935,43.5
Florida,2017,Medicaid,1916,43
Florida,2017,Medicare,33,0.7
Florida,2017,VA Care,5,0.1
Florida,2016,Total,4386,100
Florida,2016,Any Coverage,4098,93.4
Florida,2016,Uninsured,288,6.6
Florida,2016,Private,2340,53.3
Florida,2016,Employer-based,1839,41.9
Florida,2016,Direct-purchase,439,10
Florida,2016,TRICARE,130,3
Florida,2016,Public,1908,43.5
Florida,2016,Medicaid,1888,43
Florida,2016,Medicare,27,0.6
Florida,2016,VA Care,8,0.2
Florida,2015,Total,4357,100
Florida,2015,Any Coverage,4036,92.6
Florida,2015,Uninsured,321,7.4
Florida,2015,Private,2253,51.7
Florida,2015,Employer-based,1766,40.5
Florida,2015,Direct-purchase,414,9.5
Florida,2015,TRICARE,127,2.9
Florida,2015,Public,1910,43.8
Florida,2015,Medicaid,1892,43.4
Florida,2015,Medicare,25,0.6
Florida,2015,VA Care,7,0.2
Florida,2014,Total,4305,100
Florida,2014,Any Coverage,3887,90.3
Florida,2014,Uninsured,418,9.7
Florida,2014,Private,2178,50.6
Florida,2014,Employer-based,1741,40.5
Florida,2014,Direct-purchase,360,8.4
Florida,2014,TRICARE,125,2.9
Florida,2014,Public,1830,42.5
Florida,2014,Medicaid,1805,41.9
Florida,2014,Medicare,33,0.8
Florida,2014,VA Care,5,0.1
Florida,2013,Total,4272,100
Florida,2013,Any Coverage,3771,88.3
Florida,2013,Uninsured,501,11.7
Florida,2013,Private,2150,50.3
Florida,2013,Employer-based,1743,40.8
Florida,2013,Direct-purchase,331,7.8
Florida,2013,TRICARE,128,3
Florida,2013,Public,1728,40.4
Florida,2013,Medicaid,1707,40
Florida,2013,Medicare,27,0.6
Florida,2013,VA Care,5,0.1
Florida,2012,Total,4239,100
Florida,2012,Any Coverage,3752,88.5
Florida,2012,Uninsured,488,11.5
Florida,2012,Private,2150,50.7
Florida,2012,Employer-based,1774,41.9
Florida,2012,Direct-purchase,336,7.9
Florida,2012,TRICARE,115,2.7
Florida,2012,Public,1708,40.3
Florida,2012,Medicaid,1688,39.8
Florida,2012,Medicare,30,0.7
Florida,2012,VA Care,6,0.1
Florida,2011,Total,4254,100
Florida,2011,Any Coverage,3717,87.4
Florida,2011,Uninsured,537,12.6
Florida,2011,Private,2187,51.4
Florida,2011,Employer-based,1813,42.6
Florida,2011,Direct-purchase,336,7.9
Florida,2011,TRICARE,116,2.7
Florida,2011,Public,1636,38.5
Florida,2011,Medicaid,1616,38
Florida,2011,Medicare,31,0.7
Florida,2011,VA Care,5,0.1
Florida,2010,Total,4252,100
Florida,2010,Any Coverage,3682,86.6
Florida,2010,Uninsured,570,13.4
Florida,2010,Private,2255,53
Florida,2010,Employer-based,1854,43.6
Florida,2010,Direct-purchase,370,8.7
Florida,2010,TRICARE,116,2.7
Florida,2010,Public,1529,36
Florida,2010,Medicaid,1512,35.6
Florida,2010,Medicare,27,0.6
Florida,2010,VA Care,6,0.1
Florida,2009,Total,4294,100
Florida,2009,Any Coverage,3635,84.7
Florida,2009,Uninsured,659,15.3
Florida,2009,Private,2349,54.7
Florida,2009,Employer-based,1932,45
Florida,2009,Direct-purchase,396,9.2
Florida,2009,TRICARE,117,2.7
Florida,2009,Public,1385,32.2
Florida,2009,Medicaid,1363,31.7
Florida,2009,Medicare,30,0.7
Florida,2009,VA Care,5,0.1
Florida,2008,Total,4247,100
Florida,2008,Any Coverage,3513,82.7
Florida,2008,Uninsured,734,17.3
Florida,2008,Private,2487,58.6
Florida,2008,Employer-based,2058,48.5
Florida,2008,Direct-purchase,452,10.7
Florida,2008,TRICARE,111,2.6
Florida,2008,Public,1123,26.5
Florida,2008,Medicaid,1102,25.9
Florida,2008,Medicare,29,0.7
Florida,2008,VA Care,5,0.1
Georgia,2022,Total,2665,100
Georgia,2022,Any Coverage,2499,93.8
Georgia,2022,Uninsured,166,6.2
Georgia,2022,Private,1525,57.2
Georgia,2022,Employer-based,1284,48.2
Georgia,2022,Direct-purchase,221,8.3
Georgia,2022,TRICARE,110,4.1
Georgia,2022,Public,1107,41.5
Georgia,2022,Medicaid,1092,41
Georgia,2022,Medicare,20,0.7
Georgia,2022,VA Care,5,0.2
Georgia,2021,Total,2684,100
Georgia,2021,Any Coverage,2508,93.4
Georgia,2021,Uninsured,176,6.6
Georgia,2021,Private,1550,57.8
Georgia,2021,Employer-based,1340,49.9
Georgia,2021,Direct-purchase,169,6.3
Georgia,2021,TRICARE,104,3.9
Georgia,2021,Public,1077,40.1
Georgia,2021,Medicaid,1062,39.6
Georgia,2021,Medicare,20,0.7
Georgia,2021,VA Care,3,0.1
Georgia,2019,Total,2662,100
Georgia,2019,Any Coverage,2465,92.6
Georgia,2019,Uninsured,197,7.4
Georgia,2019,Private,1520,57.1
Georgia,2019,Employer-based,1303,49
Georgia,2019,Direct-purchase,166,6.2
Georgia,2019,TRICARE,108,4.1
Georgia,2019,Public,1042,39.2
Georgia,2019,Medicaid,1021,38.3
Georgia,2019,Medicare,25,1
Georgia,2019,VA Care,7,0.2
Georgia,2018,Total,2671,100
Georgia,2018,Any Coverage,2453,91.9
Georgia,2018,Uninsured,217,8.1
Georgia,2018,Private,1494,56
Georgia,2018,Employer-based,1288,48.2
Georgia,2018,Direct-purchase,156,5.8
Georgia,2018,TRICARE,98,3.7
Georgia,2018,Public,1046,39.2
Georgia,2018,Medicaid,1032,38.6
Georgia,2018,Medicare,21,0.8
Georgia,2018,VA Care,3,0.1
Georgia,2017,Total,2671,100
Georgia,2017,Any Coverage,2471,92.5
Georgia,2017,Uninsured,200,7.5
Georgia,2017,Private,1511,56.6
Georgia,2017,Employer-based,1294,48.5
Georgia,2017,Direct-purchase,173,6.5
Georgia,2017,TRICARE,102,3.8
Georgia,2017,Public,1044,39.1
Georgia,2017,Medicaid,1022,38.3
Georgia,2017,Medicare,27,1
Georgia,2017,VA Care,4,0.1
Georgia,2016,Total,2661,100
Georgia,2016,Any Coverage,2482,93.3
Georgia,2016,Uninsured,179,6.7
Georgia,2016,Private,1488,55.9
Georgia,2016,Employer-based,1240,46.6
Georgia,2016,Direct-purchase,196,7.3
Georgia,2016,TRICARE,104,3.9
Georgia,2016,Public,1086,40.8
Georgia,2016,Medicaid,1061,39.9
Georgia,2016,Medicare,29,1.1
Georgia,2016,VA Care,7,0.3
Georgia,2015,Total,2653,100
Georgia,2015,Any Coverage,2463,92.8
Georgia,2015,Uninsured,190,7.2
Georgia,2015,Private,1441,54.3
Georgia,2015,Employer-based,1210,45.6
Georgia,2015,Direct-purchase,179,6.8
Georgia,2015,TRICARE,95,3.6
Georgia,2015,Public,1100,41.5
Georgia,2015,Medicaid,1089,41
Georgia,2015,Medicare,17,0.6
Georgia,2015,VA Care,3,0.1
Georgia,2014,Total,2643,100
Georgia,2014,Any Coverage,2431,92
Georgia,2014,Uninsured,212,8
Georgia,2014,Private,1423,53.8
Georgia,2014,Employer-based,1209,45.8
Georgia,2014,Direct-purchase,157,5.9
Georgia,2014,TRICARE,99,3.8
Georgia,2014,Public,1075,40.7
Georgia,2014,Medicaid,1061,40.2
Georgia,2014,Medicare,19,0.7
Georgia,2014,VA Care,3,0.1
Georgia,2013,Total,2647,100
Georgia,2013,Any Coverage,2379,89.9
Georgia,2013,Uninsured,268,10.1
Georgia,2013,Private,1422,53.7
Georgia,2013,Employer-based,1208,45.6
Georgia,2013,Direct-purchase,154,5.8
Georgia,2013,TRICARE,106,4
Georgia,2013,Public,1035,39.1
Georgia,2013,Medicaid,1018,38.5
Georgia,2013,Medicare,22,0.8
Georgia,2013,VA Care,4,0.1
Georgia,2012,Total,2643,100
Georgia,2012,Any Coverage,2397,90.7
Georgia,2012,Uninsured,247,9.3
Georgia,2012,Private,1438,54.4
Georgia,2012,Employer-based,1231,46.6
Georgia,2012,Direct-purchase,172,6.5
Georgia,2012,TRICARE,104,3.9
Georgia,2012,Public,1029,38.9
Georgia,2012,Medicaid,1019,38.6
Georgia,2012,Medicare,16,0.6
Georgia,2012,VA Care,3,0.1
Georgia,2011,Total,2647,100
Georgia,2011,Any Coverage,2378,89.8
Georgia,2011,Uninsured,269,10.2
Georgia,2011,Private,1464,55.3
Georgia,2011,Employer-based,1254,47.4
Georgia,2011,Direct-purchase,172,6.5
Georgia,2011,TRICARE,100,3.8
Georgia,2011,Public,983,37.1
Georgia,2011,Medicaid,968,36.6
Georgia,2011,Medicare,23,0.9
Georgia,2011,VA Care,3,0.1
Georgia,2010,Total,2645,100
Georgia,2010,Any Coverage,2372,89.7
Georgia,2010,Uninsured,272,10.3
Georgia,2010,Private,1469,55.6
Georgia,2010,Employer-based,1255,47.5
Georgia,2010,Direct-purchase,188,7.1
Georgia,2010,TRICARE,96,3.6
Georgia,2010,Public,970,36.7
Georgia,2010,Medicaid,957,36.2
Georgia,2010,Medicare,16,0.6
Georgia,2010,VA Care,2,0.1
Georgia,2009,Total,2735,100
Georgia,2009,Any Coverage,2419,88.4
Georgia,2009,Uninsured,316,11.6
Georgia,2009,Private,1574,57.5
Georgia,2009,Employer-based,1354,49.5
Georgia,2009,Direct-purchase,209,7.6
Georgia,2009,TRICARE,95,3.5
Georgia,2009,Public,913,33.4
Georgia,2009,Medicaid,894,32.7
Georgia,2009,Medicare,24,0.9
Georgia,2009,VA Care,5,0.2
Georgia,2008,Total,2686,100
Georgia,2008,Any Coverage,2381,88.6
Georgia,2008,Uninsured,305,11.4
Georgia,2008,Private,1585,59
Georgia,2008,Employer-based,1343,50
Georgia,2008,Direct-purchase,231,8.6
Georgia,2008,TRICARE,98,3.6
Georgia,2008,Public,871,32.4
Georgia,2008,Medicaid,856,31.9
Georgia,2008,Medicare,23,0.8
Georgia,2008,VA Care,2,0.1
Hawaii,2022,Total,311,100
Hawaii,2022,Any Coverage,302,97
Hawaii,2022,Uninsured,9,3
Hawaii,2022,Private,209,67.3
Hawaii,2022,Employer-based,160,51.4
Hawaii,2022,Direct-purchase,26,8.4
Hawaii,2022,TRICARE,40,12.8
Hawaii,2022,Public,112,36.1
Hawaii,2022,Medicaid,110,35.5
Hawaii,2022,Medicare,1,0.5
Hawaii,2022,VA Care,1,0.4
Hawaii,2021,Total,318,100
Hawaii,2021,Any Coverage,309,97.2
Hawaii,2021,Uninsured,9,2.8
Hawaii,2021,Private,213,66.9
Hawaii,2021,Employer-based,161,50.6
Hawaii,2021,Direct-purchase,26,8.2
Hawaii,2021,TRICARE,43,13.6
Hawaii,2021,Public,122,38.5
Hawaii,2021,Medicaid,119,37.5
Hawaii,2021,Medicare,2,0.5
Hawaii,2021,VA Care,2,0.7
Hawaii,2019,Total,315,100
Hawaii,2019,Any Coverage,306,97.2
Hawaii,2019,Uninsured,9,2.8
Hawaii,2019,Private,218,69.1
Hawaii,2019,Employer-based,176,56
Hawaii,2019,Direct-purchase,25,7.8
Hawaii,2019,TRICARE,37,11.7
Hawaii,2019,Public,105,33.5
Hawaii,2019,Medicaid,104,33
Hawaii,2019,Medicare,1,0.4
Hawaii,2019,VA Care,1,0.2
Hawaii,2018,Total,319,100
Hawaii,2018,Any Coverage,311,97.4
Hawaii,2018,Uninsured,8,2.6
Hawaii,2018,Private,221,69.3
Hawaii,2018,Employer-based,174,54.5
Hawaii,2018,Direct-purchase,21,6.6
Hawaii,2018,TRICARE,43,13.6
Hawaii,2018,Public,103,32.4
Hawaii,2018,Medicaid,103,32.2
Hawaii,2018,Medicare,1,0.5
Hawaii,2018,VA Care,,0.1
Hawaii,2017,Total,321,100
Hawaii,2017,Any Coverage,314,97.8
Hawaii,2017,Uninsured,7,2.2
Hawaii,2017,Private,223,69.6
Hawaii,2017,Employer-based,177,55.2
Hawaii,2017,Direct-purchase,21,6.5
Hawaii,2017,TRICARE,43,13.5
Hawaii,2017,Public,107,33.5
Hawaii,2017,Medicaid,106,33.1
Hawaii,2017,Medicare,1,0.4
Hawaii,2017,VA Care,1,0.2
Hawaii,2016,Total,323,100
Hawaii,2016,Any Coverage,315,97.5
Hawaii,2016,Uninsured,8,2.5
Hawaii,2016,Private,229,70.9
Hawaii,2016,Employer-based,179,55.6
Hawaii,2016,Direct-purchase,25,7.7
Hawaii,2016,TRICARE,45,13.9
Hawaii,2016,Public,101,31.4
Hawaii,2016,Medicaid,100,31.1
Hawaii,2016,Medicare,1,0.2
Hawaii,2016,VA Care,1,0.2
Hawaii,2015,Total,325,100
Hawaii,2015,Any Coverage,320,98.3
Hawaii,2015,Uninsured,6,1.7
Hawaii,2015,Private,227,69.7
Hawaii,2015,Employer-based,181,55.6
Hawaii,2015,Direct-purchase,22,6.9
Hawaii,2015,TRICARE,45,13.7
Hawaii,2015,Public,106,32.7
Hawaii,2015,Medicaid,105,32.3
Hawaii,2015,Medicare,1,0.3
Hawaii,2015,VA Care,,0.1
Hawaii,2014,Total,324,100
Hawaii,2014,Any Coverage,313,96.6
Hawaii,2014,Uninsured,11,3.4
Hawaii,2014,Private,217,66.8
Hawaii,2014,Employer-based,175,54
Hawaii,2014,Direct-purchase,16,5.1
Hawaii,2014,TRICARE,42,13
Hawaii,2014,Public,108,33.4
Hawaii,2014,Medicaid,106,32.5
Hawaii,2014,Medicare,3,0.9
Hawaii,2014,VA Care,1,0.2
Hawaii,2013,Total,321,100
Hawaii,2013,Any Coverage,311,96.8
Hawaii,2013,Uninsured,10,3.2
Hawaii,2013,Private,225,69.9
Hawaii,2013,Employer-based,171,53.3
Hawaii,2013,Direct-purchase,18,5.6
Hawaii,2013,TRICARE,50,15.5
Hawaii,2013,Public,99,30.8
Hawaii,2013,Medicaid,99,30.7
Hawaii,2013,Medicare,1,0.3
Hawaii,2013,VA Care,,0.1
Hawaii,2012,Total,319,100
Hawaii,2012,Any Coverage,308,96.3
Hawaii,2012,Uninsured,12,3.7
Hawaii,2012,Private,219,68.5
Hawaii,2012,Employer-based,163,51.1
Hawaii,2012,Direct-purchase,27,8.4
Hawaii,2012,TRICARE,44,13.8
Hawaii,2012,Public,101,31.7
Hawaii,2012,Medicaid,100,31.3
Hawaii,2012,Medicare,2,0.5
Hawaii,2012,VA Care,,0.1
Hawaii,2011,Total,320,100
Hawaii,2011,Any Coverage,308,96.1
Hawaii,2011,Uninsured,12,3.9
Hawaii,2011,Private,225,70.4
Hawaii,2011,Employer-based,180,56.1
Hawaii,2011,Direct-purchase,33,10.2
Hawaii,2011,TRICARE,41,12.8
Hawaii,2011,Public,96,30.1
Hawaii,2011,Medicaid,95,29.7
Hawaii,2011,Medicare,2,0.5
Hawaii,2011,VA Care,,
Hawaii,2010,Total,321,100
Hawaii,2010,Any Coverage,308,96
Hawaii,2010,Uninsured,13,4
Hawaii,2010,Private,223,69.6
Hawaii,2010,Employer-based,179,55.9
Hawaii,2010,Direct-purchase,37,11.5
Hawaii,2010,TRICARE,35,11.1
Hawaii,2010,Public,99,30.9
Hawaii,2010,Medicaid,98,30.5
Hawaii,2010,Medicare,2,0.8
Hawaii,2010,VA Care,1,0.2
Hawaii,2009,Total,306,100
Hawaii,2009,Any Coverage,297,97.1
Hawaii,2009,Uninsured,9,2.9
Hawaii,2009,Private,228,74.3
Hawaii,2009,Employer-based,184,60
Hawaii,2009,Direct-purchase,31,10.1
Hawaii,2009,TRICARE,44,14.3
Hawaii,2009,Public,86,28.2
Hawaii,2009,Medicaid,85,27.7
Hawaii,2009,Medicare,2,0.5
Hawaii,2009,VA Care,1,0.3
Hawaii,2008,Total,301,100
Hawaii,2008,Any Coverage,290,96.4
Hawaii,2008,Uninsured,11,3.6
Hawaii,2008,Private,234,77.9
Hawaii,2008,Employer-based,184,61.2
Hawaii,2008,Direct-purchase,41,13.7
Hawaii,2008,TRICARE,42,13.9
Hawaii,2008,Public,69,22.8
Hawaii,2008,Medicaid,67,22.1
Hawaii,2008,Medicare,2,0.7
Hawaii,2008,VA Care,,0.1
Idaho,2022,Total,494,100
Idaho,2022,Any Coverage,466,94.3
Idaho,2022,Uninsured,28,5.7
Idaho,2022,Private,318,64.4
Idaho,2022,Employer-based,267,54.1
Idaho,2022,Direct-purchase,47,9.6
Idaho,2022,TRICARE,13,2.6
Idaho,2022,Public,184,37.1
Idaho,2022,Medicaid,181,36.7
Idaho,2022,Medicare,4,0.7
Idaho,2022,VA Care,,
Idaho,2021,Total,498,100
Idaho,2021,Any Coverage,463,93
Idaho,2021,Uninsured,35,7
Idaho,2021,Private,312,62.7
Idaho,2021,Employer-based,269,54
Idaho,2021,Direct-purchase,37,7.4
Idaho,2021,TRICARE,14,2.7
Idaho,2021,Public,181,36.4
Idaho,2021,Medicaid,179,36
Idaho,2021,Medicare,3,0.7
Idaho,2021,VA Care,2,0.4
Idaho,2019,Total,475,100
Idaho,2019,Any Coverage,451,95
Idaho,2019,Uninsured,24,5
Idaho,2019,Private,300,63.1
Idaho,2019,Employer-based,251,52.8
Idaho,2019,Direct-purchase,46,9.6
Idaho,2019,TRICARE,12,2.5
Idaho,2019,Public,172,36.3
Idaho,2019,Medicaid,172,36.2
Idaho,2019,Medicare,2,0.3
Idaho,2019,VA Care,,0.1
Idaho,2018,Total,471,100
Idaho,2018,Any Coverage,442,93.9
Idaho,2018,Uninsured,29,6.1
Idaho,2018,Private,292,61.9
Idaho,2018,Employer-based,243,51.5
Idaho,2018,Direct-purchase,41,8.7
Idaho,2018,TRICARE,14,3
Idaho,2018,Public,171,36.4
Idaho,2018,Medicaid,170,36
Idaho,2018,Medicare,2,0.5
Idaho,2018,VA Care,,0.1
Idaho,2017,Total,472,100
Idaho,2017,Any Coverage,450,95.4
Idaho,2017,Uninsured,22,4.6
Idaho,2017,Private,293,62
Idaho,2017,Employer-based,244,51.8
Idaho,2017,Direct-purchase,43,9
Idaho,2017,TRICARE,11,2.4
Idaho,2017,Public,182,38.6
Idaho,2017,Medicaid,181,38.3
Idaho,2017,Medicare,3,0.7
Idaho,2017,VA Care,1,0.3
Idaho,2016,Total,460,100
Idaho,2016,Any Coverage,438,95.1
Idaho,2016,Uninsured,22,4.9
Idaho,2016,Private,284,61.7
Idaho,2016,Employer-based,232,50.3
Idaho,2016,Direct-purchase,50,10.9
Idaho,2016,TRICARE,12,2.6
Idaho,2016,Public,175,38
Idaho,2016,Medicaid,174,37.8
Idaho,2016,Medicare,2,0.5
Idaho,2016,VA Care,,0.1
Idaho,2015,Total,456,100
Idaho,2015,Any Coverage,430,94.2
Idaho,2015,Uninsured,26,5.8
Idaho,2015,Private,281,61.6
Idaho,2015,Employer-based,233,50.9
Idaho,2015,Direct-purchase,46,10.2
Idaho,2015,TRICARE,8,1.8
Idaho,2015,Public,170,37.2
Idaho,2015,Medicaid,169,37.1
Idaho,2015,Medicare,1,0.3
Idaho,2015,VA Care,,
Idaho,2014,Total,457,100
Idaho,2014,Any Coverage,418,91.5
Idaho,2014,Uninsured,39,8.5
Idaho,2014,Private,280,61.1
Idaho,2014,Employer-based,227,49.6
Idaho,2014,Direct-purchase,51,11.1
Idaho,2014,TRICARE,11,2.4
Idaho,2014,Public,161,35.2
Idaho,2014,Medicaid,160,35.1
Idaho,2014,Medicare,2,0.4
Idaho,2014,VA Care,,0.1
Idaho,2013,Total,449,100
Idaho,2013,Any Coverage,408,90.8
Idaho,2013,Uninsured,41,9.2
Idaho,2013,Private,275,61.3
Idaho,2013,Employer-based,231,51.4
Idaho,2013,Direct-purchase,41,9.1
Idaho,2013,TRICARE,10,2.3
Idaho,2013,Public,151,33.5
Idaho,2013,Medicaid,147,32.7
Idaho,2013,Medicare,2,0.4
Idaho,2013,VA Care,3,0.6
Idaho,2012,Total,449,100
Idaho,2012,Any Coverage,409,91
Idaho,2012,Uninsured,40,9
Idaho,2012,Private,276,61.4
Idaho,2012,Employer-based,233,51.9
Idaho,2012,Direct-purchase,49,10.9
Idaho,2012,TRICARE,8,1.8
Idaho,2012,Public,153,34.2
Idaho,2012,Medicaid,152,33.9
Idaho,2012,Medicare,2,0.4
Idaho,2012,VA Care,,
Idaho,2011,Total,454,100
Idaho,2011,Any Coverage,410,90.2
Idaho,2011,Uninsured,44,9.8
Idaho,2011,Private,284,62.4
Idaho,2011,Employer-based,233,51.2
Idaho,2011,Direct-purchase,51,11.1
Idaho,2011,TRICARE,10,2.2
Idaho,2011,Public,147,32.4
Idaho,2011,Medicaid,146,32.2
Idaho,2011,Medicare,1,0.2
Idaho,2011,VA Care,,0.1
Idaho,2010,Total,453,100
Idaho,2010,Any Coverage,404,89
Idaho,2010,Uninsured,50,11
Idaho,2010,Private,286,63
Idaho,2010,Employer-based,241,53.2
Idaho,2010,Direct-purchase,45,9.8
Idaho,2010,TRICARE,11,2.4
Idaho,2010,Public,137,30.2
Idaho,2010,Medicaid,135,29.8
Idaho,2010,Medicare,2,0.5
Idaho,2010,VA Care,,0.1
Idaho,2009,Total,444,100
Idaho,2009,Any Coverage,392,88.2
Idaho,2009,Uninsured,53,11.8
Idaho,2009,Private,278,62.7
Idaho,2009,Employer-based,234,52.6
Idaho,2009,Direct-purchase,46,10.4
Idaho,2009,TRICARE,12,2.7
